epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.775,2.54414,5.95641,4.29496,0.00166,0.34951,0.00223,0.00067,2.58377,7.31108,4.13745,0.0806878,0.000597285,0.000597285
2,69.1116,2.55837,5.61252,4.06367,0.1457,0.02833,0.00326,0.00109,2.60352,8.42932,4.38561,0.061277,0.00118651,0.00118651
3,110.82,2.53106,5.28891,3.84205,0.12439,0.0339,0.02778,0.01219,2.5541,6.23078,3.8922,0.0418554,0.00176493,0.00176493
4,152.241,2.14748,4.43092,3.27285,0.19503,0.20355,0.11829,0.07406,2.12779,4.94619,2.98021,0.0224231,0.00233256,0.00233256
5,193.626,1.69587,3.65806,2.56419,0.29541,0.36624,0.15788,0.11481,1.82196,4.14012,2.49892,0.00297988,0.00288938,0.00288938
6,234.815,1.38785,3.19522,2.14793,0.27196,0.41398,0.19306,0.15321,1.45274,3.48857,2.06865,0.002865,0.002865,0.002865
7,275.885,1.17188,2.85212,1.85344,0.2064,0.44029,0.22139,0.17764,1.22897,3.01141,1.80455,0.002838,0.002838,0.002838
8,316.794,1.04556,2.60874,1.66753,0.23088,0.49914,0.25632,0.19991,1.15034,2.72136,1.70983,0.002811,0.002811,0.002811
9,357.592,0.97603,2.42075,1.55346,0.21724,0.47779,0.26598,0.21509,1.02961,2.58621,1.55902,0.002784,0.002784,0.002784
10,398.608,0.91538,2.27058,1.46704,0.24955,0.48716,0.30025,0.24152,0.97471,2.32663,1.47286,0.002757,0.002757,0.002757
11,439.659,0.87929,2.17439,1.41109,0.31183,0.48837,0.31976,0.25702,0.94454,2.17955,1.43277,0.00273,0.00273,0.00273
12,480.937,0.86455,2.07911,1.37108,0.34068,0.45207,0.36187,0.29429,0.91077,2.12446,1.37308,0.002703,0.002703,0.002703
13,522.217,0.84644,1.97811,1.34482,0.35873,0.45994,0.39705,0.31923,0.91637,2.07345,1.38745,0.002676,0.002676,0.002676
14,563.507,0.83854,1.90224,1.32775,0.37676,0.50514,0.42417,0.34878,0.8667,1.94402,1.34331,0.002649,0.002649,0.002649
15,604.684,0.82465,1.79621,1.31009,0.46256,0.46186,0.46092,0.3811,0.8604,1.88885,1.32219,0.002622,0.002622,0.002622
16,645.927,0.81096,1.69898,1.29392,0.40896,0.50771,0.46547,0.38073,0.85529,1.8119,1.30504,0.002595,0.002595,0.002595
17,687.113,0.79333,1.60444,1.2663,0.47921,0.51748,0.51424,0.42398,0.86415,1.66132,1.2933,0.002568,0.002568,0.002568
18,728.32,0.77163,1.53369,1.2421,0.55549,0.51976,0.54776,0.45217,0.83476,1.60062,1.27861,0.002541,0.002541,0.002541
19,769.602,0.76919,1.47374,1.24024,0.5655,0.50069,0.55488,0.46041,0.80402,1.55929,1.24768,0.002514,0.002514,0.002514
20,810.788,0.75459,1.41101,1.21589,0.59291,0.51985,0.58428,0.48593,0.79968,1.50225,1.2547,0.002487,0.002487,0.002487
21,851.882,0.74952,1.37107,1.20656,0.59812,0.54269,0.59423,0.49501,0.79731,1.43836,1.23221,0.00246,0.00246,0.00246
22,893.23,0.73697,1.32078,1.19552,0.6709,0.53339,0.62647,0.52465,0.78238,1.39174,1.20605,0.002433,0.002433,0.002433
23,934.41,0.73748,1.27451,1.19231,0.62611,0.54794,0.61882,0.51269,0.80105,1.38171,1.22807,0.002406,0.002406,0.002406
24,975.619,0.72484,1.24638,1.18141,0.569,0.60358,0.62752,0.52335,0.7598,1.32668,1.19691,0.002379,0.002379,0.002379
25,1016.71,0.71832,1.20748,1.17114,0.7185,0.56549,0.66471,0.56178,0.77469,1.28883,1.20422,0.002352,0.002352,0.002352
26,1057.8,0.70952,1.18145,1.1644,0.70459,0.54703,0.65789,0.55301,0.76843,1.2597,1.19539,0.002325,0.002325,0.002325
27,1098.86,0.71563,1.15918,1.16536,0.64388,0.61261,0.67159,0.56414,0.74918,1.23046,1.18413,0.002298,0.002298,0.002298
28,1140.06,0.69856,1.12341,1.1439,0.70223,0.64917,0.6913,0.58475,0.74028,1.17025,1.16538,0.002271,0.002271,0.002271
29,1181.29,0.69128,1.09911,1.13781,0.68018,0.63948,0.69708,0.58745,0.73708,1.1577,1.1637,0.002244,0.002244,0.002244
