epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1651.95,0.5272,0.48625,0.9093,0.90787,0.88378,0.93282,0.79704,0.60018,0.56143,0.97555,0.001866,0.001866,0.001866
44,1690.34,0.52328,0.48154,0.91315,0.90364,0.87102,0.93501,0.79388,0.62099,0.56143,0.98072,0.001839,0.001839,0.001839
45,1728.64,0.52031,0.46801,0.91223,0.93036,0.87727,0.9342,0.79624,0.61126,0.55685,0.97629,0.001812,0.001812,0.001812
46,1766.91,0.51688,0.46217,0.90391,0.92961,0.88345,0.94129,0.80033,0.61792,0.53836,0.98374,0.001785,0.001785,0.001785
47,1805.01,0.5184,0.45566,0.90968,0.9001,0.89612,0.94299,0.80032,0.60505,0.52866,0.97495,0.001758,0.001758,0.001758
48,1843.26,0.51415,0.45084,0.90696,0.93537,0.87755,0.94421,0.79766,0.61092,0.54628,0.98079,0.001731,0.001731,0.001731
49,1881.53,0.51078,0.44671,0.9037,0.90365,0.89194,0.9355,0.79079,0.6129,0.52759,0.98095,0.001704,0.001704,0.001704
50,1919.89,0.50591,0.43878,0.90223,0.91138,0.87256,0.93264,0.79471,0.60712,0.53366,0.9772,0.001677,0.001677,0.001677
51,1958.13,0.50482,0.4368,0.90344,0.89424,0.89277,0.93725,0.79621,0.61639,0.52112,0.98279,0.00165,0.00165,0.00165
52,1996.37,0.50417,0.42617,0.8986,0.93508,0.86456,0.94366,0.79994,0.60909,0.51344,0.97815,0.001623,0.001623,0.001623
53,2034.51,0.5031,0.42344,0.90388,0.91352,0.88941,0.94025,0.79504,0.61272,0.51267,0.97755,0.001596,0.001596,0.001596
54,2072.7,0.49999,0.42323,0.89407,0.91096,0.88783,0.93659,0.79826,0.60512,0.50664,0.97734,0.001569,0.001569,0.001569
55,2111.19,0.4968,0.4167,0.89859,0.91816,0.87883,0.93673,0.79079,0.61089,0.50931,0.98057,0.001542,0.001542,0.001542
56,2149.16,0.50047,0.41492,0.9011,0.91483,0.88643,0.93603,0.7964,0.59791,0.50429,0.97971,0.001515,0.001515,0.001515
57,2187.23,0.49399,0.4047,0.89385,0.91582,0.88976,0.94017,0.79493,0.60677,0.49175,0.97773,0.001488,0.001488,0.001488
58,2225.58,0.48983,0.40207,0.89562,0.93872,0.87282,0.93666,0.79739,0.60536,0.49307,0.97473,0.001461,0.001461,0.001461
59,2263.82,0.48826,0.39839,0.88866,0.91099,0.88496,0.94134,0.79813,0.60853,0.49499,0.98254,0.001434,0.001434,0.001434
60,2302.13,0.48443,0.39126,0.89131,0.93676,0.88113,0.94488,0.80024,0.59381,0.482,0.968,0.001407,0.001407,0.001407
61,2340.45,0.47789,0.38611,0.88637,0.9303,0.88559,0.94693,0.80178,0.60256,0.48249,0.97775,0.00138,0.00138,0.00138
