epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1639.87,0.55203,0.55759,0.92635,0.90814,0.85024,0.91699,0.77671,0.62764,0.62485,0.97905,0.001839,0.001839,0.001839
45,1677.19,0.53913,0.54015,0.9186,0.89838,0.86699,0.92959,0.7851,0.61902,0.6159,0.97736,0.001812,0.001812,0.001812
46,1714.37,0.54662,0.53685,0.91755,0.92315,0.84336,0.92793,0.79002,0.61354,0.60909,0.96417,0.001785,0.001785,0.001785
47,1751.36,0.54267,0.53368,0.91909,0.90623,0.87653,0.93074,0.78754,0.61365,0.60939,0.97693,0.001758,0.001758,0.001758
48,1788.49,0.54287,0.53053,0.91781,0.92969,0.86988,0.93062,0.78941,0.61686,0.59492,0.97074,0.001731,0.001731,0.001731
49,1825.7,0.53596,0.51789,0.9134,0.90916,0.8706,0.92963,0.78786,0.6148,0.59201,0.972,0.001704,0.001704,0.001704
50,1862.99,0.52868,0.50633,0.91304,0.9343,0.85564,0.93063,0.78882,0.61163,0.58306,0.96838,0.001677,0.001677,0.001677
51,1899.87,0.53111,0.50461,0.91347,0.90722,0.87804,0.93252,0.79608,0.60869,0.57956,0.96521,0.00165,0.00165,0.00165
52,1937.05,0.52789,0.49321,0.908,0.91421,0.87145,0.93047,0.79027,0.60615,0.58018,0.9671,0.001623,0.001623,0.001623
53,1974.05,0.52687,0.48695,0.91301,0.92053,0.87048,0.93693,0.79251,0.60757,0.56892,0.96378,0.001596,0.001596,0.001596
54,2010.96,0.52508,0.48707,0.90367,0.91717,0.86579,0.9349,0.79455,0.60293,0.55873,0.95984,0.001569,0.001569,0.001569
55,2048.28,0.52067,0.478,0.90513,0.87992,0.89932,0.93087,0.79361,0.60953,0.55472,0.96177,0.001542,0.001542,0.001542
56,2085.3,0.52347,0.47996,0.90912,0.93469,0.88391,0.94156,0.79604,0.60667,0.55124,0.96672,0.001515,0.001515,0.001515
57,2122.39,0.52083,0.47218,0.90432,0.88821,0.89262,0.93108,0.79574,0.61259,0.56072,0.96721,0.001488,0.001488,0.001488
58,2159.62,0.51357,0.4651,0.90603,0.94521,0.87106,0.94084,0.80249,0.59937,0.53725,0.95949,0.001461,0.001461,0.001461
59,2196.8,0.5109,0.46053,0.89933,0.94,0.8641,0.93466,0.79826,0.60147,0.54198,0.96567,0.001434,0.001434,0.001434
60,2233.87,0.50971,0.44902,0.90076,0.95324,0.86871,0.94358,0.80595,0.60192,0.52386,0.96211,0.001407,0.001407,0.001407
61,2270.97,0.50424,0.4401,0.89508,0.90638,0.89133,0.94102,0.80282,0.59725,0.52144,0.96311,0.00138,0.00138,0.00138
62,2308.1,0.5,0.44284,0.89608,0.91724,0.87332,0.93516,0.80025,0.60066,0.52685,0.96434,0.001353,0.001353,0.001353
63,2345.18,0.50113,0.4407,0.89089,0.92475,0.88166,0.93784,0.80091,0.60154,0.52494,0.96337,0.001326,0.001326,0.001326
64,2382.39,0.49751,0.43521,0.89173,0.93877,0.88402,0.94031,0.80036,0.60981,0.5195,0.97445,0.001299,0.001299,0.001299
65,2419.66,0.49513,0.43021,0.89403,0.93397,0.87391,0.94109,0.80509,0.59607,0.51317,0.96896,0.001272,0.001272,0.001272
66,2456.69,0.49463,0.4293,0.89305,0.91407,0.8778,0.93699,0.80329,0.58889,0.51269,0.95976,0.001245,0.001245,0.001245
