epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5817,2.60346,6.10462,4.24839,0.00239,0.23076,0.00176,0.00048,2.65138,7.55338,4.18049,0.0806878,0.000597285,0.000597285
2,47.0371,2.59465,5.87691,4.14976,0.00237,0.25676,0.00183,0.00056,2.65259,9.35447,4.49429,0.061277,0.00118651,0.00118651
3,68.1232,2.59675,5.70026,4.04446,0.00162,0.21988,0.00153,0.00051,2.63,7.36013,4.16987,0.0418554,0.00176493,0.00176493
4,88.3544,2.56208,5.51422,3.91612,0.00279,0.23792,0.00301,0.00117,2.58981,6.5826,3.8274,0.0224231,0.00233256,0.00233256
5,109.034,2.39997,5.08968,3.56446,0.35084,0.19579,0.07617,0.04537,2.3813,5.94277,3.31256,0.00297988,0.00288938,0.00288938
6,129.616,1.84531,4.09683,2.71751,0.37318,0.28327,0.14419,0.10926,1.87138,4.56721,2.57354,0.002865,0.002865,0.002865
7,150.191,1.47692,3.40349,2.2141,0.37835,0.31308,0.16826,0.13287,1.6002,4.09218,2.22116,0.002838,0.002838,0.002838
8,172.639,1.25628,3.00946,1.91815,0.2198,0.41474,0.20411,0.15874,1.39289,3.30256,1.99396,0.002811,0.002811,0.002811
9,212.679,1.08858,2.71241,1.7182,0.21483,0.42475,0.23344,0.18338,1.23866,2.90792,1.76723,0.002784,0.002784,0.002784
10,254.72,1.0031,2.48249,1.58225,0.23449,0.49183,0.23665,0.18857,1.13439,2.72674,1.65246,0.002757,0.002757,0.002757
11,295.688,0.95191,2.33625,1.49864,0.25696,0.43969,0.24021,0.19102,1.05373,2.53433,1.54068,0.00273,0.00273,0.00273
12,338.631,0.92604,2.22287,1.44008,0.2534,0.4419,0.27809,0.22523,0.99038,2.34635,1.4572,0.002703,0.002703,0.002703
13,380.644,0.8889,2.12595,1.3968,0.23271,0.41475,0.26843,0.21354,0.99394,2.32544,1.45858,0.002676,0.002676,0.002676
14,420.682,0.88076,2.06935,1.37122,0.28895,0.47711,0.30167,0.24802,0.92066,2.16763,1.36628,0.002649,0.002649,0.002649
15,485.056,0.86276,1.977,1.34053,0.24419,0.52912,0.28792,0.23445,0.93171,2.17751,1.36942,0.002622,0.002622,0.002622
16,604.012,0.84358,1.92058,1.31463,0.29532,0.43383,0.3381,0.27738,0.88392,2.04058,1.32446,0.002595,0.002595,0.002595
17,724.518,0.81771,1.84852,1.28063,0.31347,0.40395,0.34248,0.27491,0.88323,1.95036,1.30542,0.002568,0.002568,0.002568
18,844.569,0.81067,1.79099,1.26494,0.3606,0.47047,0.39191,0.32061,0.86382,1.81811,1.27042,0.002541,0.002541,0.002541
19,961.066,0.80951,1.74188,1.25777,0.38231,0.45474,0.4066,0.33373,0.82896,1.81373,1.26059,0.002514,0.002514,0.002514
20,1025.18,0.79524,1.66845,1.23999,0.39445,0.49821,0.44841,0.3646,0.86143,1.78845,1.2702,0.002487,0.002487,0.002487
21,1078.19,0.78547,1.61519,1.22212,0.39669,0.51454,0.475,0.38832,0.83655,1.6996,1.24882,0.00246,0.00246,0.00246
22,1120.47,0.77344,1.55815,1.20967,0.52202,0.44288,0.49756,0.41396,0.81843,1.68276,1.22852,0.002433,0.002433,0.002433
23,1162.41,0.77689,1.50642,1.20984,0.44718,0.49047,0.50699,0.42065,0.84191,1.57621,1.23858,0.002406,0.002406,0.002406
24,1204.24,0.76861,1.46027,1.20516,0.55707,0.49929,0.5436,0.44835,0.80094,1.50752,1.21341,0.002379,0.002379,0.002379
25,1246.16,0.75508,1.39418,1.18963,0.66939,0.49017,0.56261,0.4716,0.78987,1.4321,1.20043,0.002352,0.002352,0.002352
26,1288.21,0.75321,1.3541,1.18373,0.57262,0.54385,0.58144,0.48455,0.80216,1.40035,1.21678,0.002325,0.002325,0.002325
27,1330.16,0.75363,1.33138,1.18343,0.68889,0.54,0.61568,0.51401,0.78972,1.34352,1.19454,0.002298,0.002298,0.002298
28,1372.04,0.73664,1.29217,1.16381,0.61262,0.52755,0.60766,0.50881,0.78241,1.35091,1.18749,0.002271,0.002271,0.002271
29,1413.95,0.72904,1.2605,1.16094,0.69924,0.51475,0.61308,0.51422,0.77509,1.30331,1.18592,0.002244,0.002244,0.002244
30,1455.84,0.73609,1.2375,1.16254,0.71061,0.54432,0.63772,0.53492,0.77312,1.27056,1.17971,0.002217,0.002217,0.002217
31,1497.59,0.721,1.19303,1.15297,0.68944,0.55791,0.64438,0.53962,0.76384,1.2576,1.16078,0.00219,0.00219,0.00219
32,1539.59,0.71943,1.16978,1.14598,0.6984,0.54785,0.63454,0.52891,0.76675,1.28538,1.17007,0.002163,0.002163,0.002163
33,1581.59,0.71512,1.15428,1.13778,0.67085,0.58855,0.66282,0.55645,0.76015,1.21738,1.16402,0.002136,0.002136,0.002136
34,1623.79,0.71154,1.1427,1.13958,0.65936,0.60673,0.67091,0.56381,0.74517,1.17851,1.14926,0.002109,0.002109,0.002109
35,1665.74,0.70193,1.1167,1.12903,0.68653,0.58873,0.67281,0.56593,0.74671,1.14273,1.14809,0.002082,0.002082,0.002082
