epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1658.37,0.54165,0.53379,0.91846,0.90245,0.84824,0.9202,0.78197,0.62883,0.62316,0.9827,0.001839,0.001839,0.001839
45,1695.98,0.53668,0.52067,0.91832,0.92299,0.84736,0.92112,0.77717,0.61439,0.62615,0.97538,0.001812,0.001812,0.001812
46,1733.63,0.5369,0.52378,0.91274,0.8961,0.84359,0.91691,0.77482,0.61835,0.61362,0.9717,0.001785,0.001785,0.001785
47,1771.37,0.53973,0.50729,0.9165,0.88641,0.87194,0.91009,0.77439,0.61162,0.60764,0.96919,0.001758,0.001758,0.001758
48,1808.88,0.5323,0.50857,0.91286,0.91857,0.84198,0.92273,0.78435,0.6101,0.59403,0.9731,0.001731,0.001731,0.001731
49,1846.5,0.5276,0.49362,0.90796,0.9245,0.86189,0.93155,0.78801,0.61191,0.58737,0.97362,0.001704,0.001704,0.001704
50,1884.01,0.52288,0.48603,0.90804,0.90428,0.85918,0.93048,0.78983,0.62317,0.58998,0.97273,0.001677,0.001677,0.001677
51,1921.44,0.52716,0.49335,0.90734,0.90075,0.86631,0.9253,0.78863,0.61634,0.5863,0.97881,0.00165,0.00165,0.00165
52,1958.89,0.51998,0.47384,0.902,0.88731,0.88325,0.92934,0.79342,0.61413,0.57122,0.97382,0.001623,0.001623,0.001623
53,1996.43,0.51994,0.47428,0.90823,0.91441,0.87364,0.93234,0.79428,0.6175,0.56131,0.97806,0.001596,0.001596,0.001596
54,2034.07,0.51636,0.47046,0.8989,0.91156,0.87487,0.92549,0.78978,0.61817,0.58686,0.97333,0.001569,0.001569,0.001569
55,2071.61,0.5114,0.46627,0.89897,0.91391,0.88422,0.93251,0.79446,0.60959,0.55647,0.96937,0.001542,0.001542,0.001542
56,2109.07,0.51288,0.45832,0.90449,0.92168,0.86529,0.92909,0.79549,0.60803,0.55571,0.97037,0.001515,0.001515,0.001515
57,2146.6,0.50811,0.45211,0.89833,0.92002,0.86757,0.93189,0.79385,0.60746,0.55701,0.96619,0.001488,0.001488,0.001488
58,2184.22,0.5064,0.44838,0.89873,0.92192,0.87135,0.93777,0.80194,0.60571,0.52682,0.96764,0.001461,0.001461,0.001461
59,2221.59,0.50116,0.43598,0.89092,0.899,0.8959,0.93714,0.80175,0.60198,0.53815,0.96955,0.001434,0.001434,0.001434
60,2259.05,0.49746,0.4348,0.89423,0.91512,0.87946,0.93201,0.79795,0.61398,0.54205,0.97383,0.001407,0.001407,0.001407
