epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2572.46,0.67098,0.93632,1.10472,0.75373,0.63515,0.73449,0.61946,0.70654,0.99524,1.11701,0.001866,0.001866,0.001866
44,2613.67,0.66261,0.9289,1.095,0.72399,0.6556,0.74185,0.62637,0.7056,1.0011,1.1203,0.001839,0.001839,0.001839
45,2654.89,0.65039,0.90006,1.08734,0.82643,0.61663,0.75073,0.63404,0.70417,0.98214,1.11886,0.001812,0.001812,0.001812
46,2695.89,0.655,0.89299,1.08625,0.78868,0.6625,0.76221,0.64636,0.71796,0.94672,1.12641,0.001785,0.001785,0.001785
47,2737,0.65645,0.87719,1.0887,0.79212,0.66498,0.7661,0.64903,0.69879,0.96124,1.11,0.001758,0.001758,0.001758
48,2778.21,0.65066,0.87208,1.08681,0.79527,0.68015,0.78148,0.66013,0.70311,0.93787,1.1136,0.001731,0.001731,0.001731
49,2819.46,0.6446,0.85213,1.07438,0.7619,0.67865,0.76531,0.65142,0.70121,0.93299,1.11306,0.001704,0.001704,0.001704
50,2860.52,0.64202,0.85139,1.08055,0.77008,0.68886,0.77026,0.65527,0.6917,0.92547,1.10694,0.001677,0.001677,0.001677
51,2901.77,0.64364,0.83606,1.07686,0.8764,0.64103,0.77643,0.65891,0.69556,0.92911,1.10344,0.00165,0.00165,0.00165
52,2942.89,0.63684,0.82181,1.0675,0.76837,0.71372,0.7858,0.66561,0.70306,0.92091,1.11308,0.001623,0.001623,0.001623
53,2984.09,0.63743,0.82145,1.07541,0.79889,0.69394,0.79204,0.67125,0.68917,0.88374,1.10319,0.001596,0.001596,0.001596
54,3025.48,0.62676,0.79456,1.06413,0.78127,0.7017,0.78807,0.66601,0.69896,0.88642,1.10493,0.001569,0.001569,0.001569
55,3066.77,0.63052,0.78235,1.06334,0.75961,0.72059,0.78923,0.66399,0.69966,0.87717,1.10712,0.001542,0.001542,0.001542
56,3108.03,0.63129,0.77827,1.06805,0.78729,0.71412,0.79919,0.67978,0.67691,0.8936,1.09391,0.001515,0.001515,0.001515
57,3149.03,0.62916,0.7745,1.05903,0.77136,0.72529,0.80348,0.68172,0.67727,0.8563,1.09423,0.001488,0.001488,0.001488
58,3190.24,0.6263,0.77627,1.06131,0.75746,0.72251,0.80298,0.67643,0.68682,0.86869,1.10164,0.001461,0.001461,0.001461
59,3231.37,0.6143,0.75091,1.05341,0.76902,0.73366,0.80154,0.68219,0.67772,0.8437,1.08771,0.001434,0.001434,0.001434
60,3272.46,0.61167,0.73387,1.05134,0.80317,0.71787,0.80833,0.68831,0.66742,0.84733,1.07875,0.001407,0.001407,0.001407
61,3313.68,0.61108,0.7242,1.04727,0.8206,0.73831,0.82634,0.70445,0.67504,0.81452,1.08311,0.00138,0.00138,0.00138
62,3354.84,0.60534,0.71377,1.04471,0.78138,0.7636,0.8188,0.69447,0.68151,0.8191,1.09051,0.001353,0.001353,0.001353
63,3396.21,0.60723,0.71258,1.04228,0.77384,0.77908,0.83328,0.70734,0.67701,0.80291,1.08665,0.001326,0.001326,0.001326
64,3437.49,0.60468,0.70563,1.04707,0.79204,0.74905,0.82451,0.70469,0.68222,0.79651,1.08577,0.001299,0.001299,0.001299
65,3478.67,0.60651,0.68732,1.04316,0.81998,0.73664,0.82858,0.70792,0.66466,0.79957,1.0753,0.001272,0.001272,0.001272
66,3520,0.60252,0.68207,1.0432,0.83397,0.7213,0.83031,0.70471,0.66169,0.76971,1.07189,0.001245,0.001245,0.001245
67,3561.2,0.59618,0.67841,1.03634,0.84237,0.7261,0.83264,0.70609,0.66361,0.77501,1.07635,0.001218,0.001218,0.001218
68,3602.47,0.59096,0.66672,1.03637,0.82513,0.75553,0.83634,0.7106,0.65918,0.77535,1.07125,0.001191,0.001191,0.001191
69,3643.66,0.5952,0.66583,1.03651,0.81605,0.76485,0.84765,0.71928,0.66248,0.77026,1.07203,0.001164,0.001164,0.001164
70,3684.92,0.5889,0.66194,1.0294,0.84144,0.7648,0.84939,0.7192,0.66289,0.75885,1.06973,0.001137,0.001137,0.001137
71,3725.96,0.59236,0.66018,1.03338,0.85814,0.72265,0.84272,0.71504,0.65739,0.75584,1.07321,0.00111,0.00111,0.00111
72,3767.24,0.58931,0.65242,1.03103,0.76841,0.81161,0.84338,0.71634,0.66412,0.75796,1.07326,0.001083,0.001083,0.001083
73,3808.54,0.58696,0.64376,1.02853,0.85386,0.74793,0.85294,0.72423,0.65835,0.74589,1.06862,0.001056,0.001056,0.001056
74,3849.76,0.58089,0.63176,1.03021,0.82988,0.77298,0.85214,0.72197,0.66079,0.74254,1.07036,0.001029,0.001029,0.001029
75,3891,0.58444,0.63413,1.02412,0.85524,0.76981,0.85773,0.73029,0.6575,0.72707,1.06794,0.001002,0.001002,0.001002
76,3932.17,0.5742,0.61225,1.02311,0.87011,0.73946,0.85115,0.7174,0.65934,0.74307,1.06832,0.000975,0.000975,0.000975
77,3973.35,0.57598,0.60806,1.02109,0.83918,0.77441,0.86066,0.72678,0.65739,0.71941,1.06591,0.000948,0.000948,0.000948
